potongan  lirik  lagu,ekspresi lagu
"Pernah sakit tapi tak pernah sesakit ini Karena pernah cinta tapi tak pernah sedalam ini



",sedih dan galau
"Aku ingin semua cintamu hanya untukku Memang ku tak rela bagi untuk hati yang lain



",sedih dan galau
"Baru kusadari cintaku bertepuk sebelah tangan Kau buat remuk sluruh hatiku



",sedih dan galau
"Semoga aku akan memahami sisi hatimu yang beku Semoga akan datang keajaiban hingga kaupun mau mengganti cintaku

",sedih dan galau
"Semua tak mampu hilangkan cinta Yang telah kau beri



",sedih dan galau
"Biarlah ku simpan, sampai nanti aku kan ada di sana Tenanglah dirimu dalam kedamaian Ingatlah cintaku, kau tak terlihat lagi Namun cintamu abadi



",sedih dan galau
"Lihat aku sayang Yang sudah berjuang Menunggumu datang Menjemputmu pulang



",sedih dan galau
"Mencoba bertahan sekuat hati Layaknya karang yang Dihempas sang ombak Jalani hidup dalam buai belaka Serahkan cinta tulus di dalam takdir



",sedih dan galau
"Dan kuberharap semua ini Bukanlah kekeliruan seperti yang kukira Seumur hidupku Akan menjadi doa untukmu


",sedih dan galau
"Aku tak bisa memiliki Menjaga cintamu Walau sesungguhnya hatiku mencintaimu, memilikimu Aku tak ingin kau terluka Mencintai aku Hapuslah air matamu dan lupakan aku
",sedih dan galau
"Waktu terus berlalu Tanpa kusadari yang ada hanya aku dan kenangan Masih teringat jelas Senyum terakhir yang kau beri untukku
",sedih dan galau
"mana janji manismu mencintaiku sampai mati kini engkau pun pergi saat ku terpuruk sendiri
",sedih dan galau
"Menjelang hari bahagiamu Kau tak pernah tahu aku bersedih Kau lupakan semua kenangan lalu Lalu kau campakkan begitu saja
",sedih dan galau
"Mudah saja bagimu Mudah saja untukmu Coba saja lukamu seperti lukaku
",sedih dan galau
Hanya tangis diri  Tak tertahankan  Tetesan air mata yang jatuh  Saat engkau pergi ,sedih dan galau
"Selamat tinggal kasih, ku telah pergi, selamanya
",sedih dan galau
"Pernah kucoba menyisihkan Namun hati tak rela tuk akui Kenyataan yang ada kasih Kau tak mungkin ada di sini
",sedih dan galau
Kau tlah pergi  Tinggalkan maaf yang tak terucap  Dan takkan kembali  Tersimpan kini janjiku di hati,sedih dan galau
Kau yang tlah pergi  Saat-saat terakhir  Ku teringat dengan mu  Yang terbayang kini ,sedih dan galau
Buka kita buka hari yang baru sebagai semangat langkah ke depan jadi pribadi baru,semangat dan bahagia
Aku pasti bisa Menikmati semua dan menghadapinya Aku yakin pasti bisa,semangat dan bahagia
eperti pedih yang telah kita bagi Layaknya luka yang telah terobati Bila kita jatuh nanti… kita siap ‘tuk melompat lebih tinggi,semangat dan bahagia
"Kawan, lihat ke depan, tunjukan jalan bagi kita agar bertahan. teruskan… teruskan… teruskan lagi hingga semua bermakna murni dan abadi.",semangat dan bahagia
Marilah kita mensyukuri Semua berkat dalam hidup ini Kita bahagia Kita bahagia Bersama hangatnya mentari,semangat dan bahagia
Nikmati dan lukiskan memori Kita bahagia Kita bahagia Ba-ha-gia-ia,semangat dan bahagia
Jika memang adanya (Jika memang adanya) aku dan kamu (aku dan kamu) kita bahagia (kita bahagia) Jadikanlah cerita (jadikanlah cerita) kita berdua untuk selamanya…,semangat dan bahagia
Di sini tempat cari senang Salah tempat kalo kau cari uang Di sini orang-orang penuh kreativitas Tempat orang-orang yang terbaik,semangat dan bahagia
Berlari dan terus bernyanyi Mengikuti irama sang mentari Tertawa dan selalu ceria Berikan ku arti hidup ini,semangat dan bahagia
Sesungguhnya perjuangan sudah dimulai Sebelum kita dilahirkan Kemenangkan pergulatan itulah yang sesungguhnya Sebuah takdir sejati…,semangat dan bahagia
"Jabat erat tanganku kawan, kau tak akan pernah sendiri hancurkan dendam dengan rasa cinta didada, untuk semua manusia”",semangat dan bahagia
Percayalah Lelah ini hanya sebentar saja Jangan menyerah Walaupun tak mudah meraihnya,semangat dan bahagia
"Hadapi dengan senyuman, semua yg terjadi biar terjadi hadapi dengan tenang jiwa, semua kan baik-baik saja",semangat dan bahagia
"Kemenangan adalah milik Orang-orang yang berdoa, yang berdoa Kemenangan adalah milik Orang-orang yang berjuang, yang berjuang",semangat dan bahagia
Biar saja ku tak seharum bunga mawar Tapi slalu kucoba tuk mengharumkanmu Biar saja ku tak seelok langit sore Tapi slalu kucoba tuk mengindahkanmu,semangat dan bahagia
Lupakan semua yang membuatmu menangis yakinkan senyummu untuk bisa terangi hatimu,semangat dan bahagia
"Tapakilah jejak diri, wujudkanlah mimpi.. dan yakinlah kan kau raih.. yeiyeah.., Lakukanlah dari hati, beri yg terbaik.. pasti kan kau raih",semangat dan bahagia
Jangan kau jadikan satu kenangan yang memilukan Berdiri teman Jalan begitu banyak terbentang jangan kau lewatkan tanpa harapan,semangat dan bahagia
"Mari berlari meraih mimpi, menggapai langit yg tinggi jalani hari dengan berani, tegaskan suara hati kuatkan dirimu janganlah kau ragu",semangat dan bahagia
Mari semua kita bersatu jangan ragu tuk melangkah maju kibarkan semangatmu tetaplah berpacu huo..o.o kita jadi pemenang tuk meraih harapan bersama kita jadilah pemenang,semangat dan bahagia
